model,preprocessing,n,accuracy,precision,f1,sensitivity,specificity,balanced_accuracy,mcc,auc
EEGNet,128Hz,2540,0.7728346456692914,0.7867109634551495,0.8040747028862478,0.8222222222222222,0.7081818181818181,0.7652020202020202,0.5348672261818334,0.835917297979798
EEGNet,128to512_interp,508,0.75,0.7523510971786834,0.7907742998352554,0.8333333333333334,0.6409090909090909,0.7371212121212121,0.4861628202207014,0.8106534090909091
CNN+LR,128to512_interp,508,0.7322834645669292,0.7714285714285715,0.7605633802816901,0.75,0.7090909090909091,0.7295454545454545,0.45736174698024346,0.7626893939393938
CNN+RF,128to512_interp,508,0.7303149606299213,0.7649122807017544,0.7609075043630017,0.7569444444444444,0.6954545454545454,0.726199494949495,0.4517044294812779,0.7726878156565657
CNN+LinearSVM,128to512_interp,508,0.7204724409448819,0.7449664429530202,0.757679180887372,0.7708333333333334,0.6545454545454545,0.7126893939393939,0.4280215489005801,0.7642834595959596
CNN+NLSVM,128to512_interp,508,0.7145669291338582,0.7526501766784452,0.7460595446584939,0.7395833333333334,0.6818181818181818,0.7107007575757576,0.42035788694180665,0.7706755050505051
CNN+KNN,128to512_interp,508,0.6929133858267716,0.7244897959183674,0.7319587628865979,0.7395833333333334,0.6318181818181818,0.6857007575757577,0.3727097067463892,0.7404356060606061
ShallowConvNet,128Hz,2540,0.675984251968504,0.8203530633437176,0.657511444028298,0.5486111111111112,0.8427272727272728,0.695669191919192,0.39966953527054,0.7760066287878788
CNN+GNB,128to512_interp,508,0.6673228346456693,0.6842105263157895,0.723404255319149,0.7673611111111112,0.5363636363636364,0.6518623737373738,0.31275239100159724,0.6670849116161617
CNN+NLSVM,128Hz,2540,0.6480314960629922,0.6719143576826196,0.7047556142668429,0.7409722222222223,0.5263636363636364,0.6336679292929293,0.273647245733359,0.6875801767676768
CNN+LR_noCORAL,128Hz,2540,0.6275590551181103,0.6668918918918919,0.6760273972602739,0.6854166666666667,0.5518181818181818,0.6186174242424243,0.23838135449443065,0.6581893939393939
CNN+LR,128Hz,2540,0.6275590551181103,0.6668918918918919,0.6760273972602739,0.6854166666666667,0.5518181818181818,0.6186174242424243,0.23838135449443065,0.6581893939393939
CNN+RF,128Hz,2540,0.6271653543307086,0.6447445684086905,0.69869551384028,0.7625,0.45,0.60625,0.22400951720317472,0.6673017676767679
CNN+LR_withCORAL,128Hz,2540,0.6177165354330708,0.6645614035087719,0.6610820244328097,0.6576388888888889,0.5654545454545454,0.6115467171717172,0.2227509228162071,0.6574160353535353
CNN+LinearSVM,128Hz,2540,0.612992125984252,0.6414860681114551,0.6782324058919803,0.7194444444444444,0.47363636363636363,0.5965404040404041,0.1988197698273301,0.6353718434343434
CNN+KNN,128Hz,2540,0.5972440944881889,0.6208695652173913,0.6767772511848341,0.74375,0.40545454545454546,0.5746022727272727,0.15837487623036992,0.6149397095959597
CNN+GNB,128Hz,2540,0.59251968503937,0.5979680696661829,0.7048759623609923,0.8583333333333333,0.24454545454545454,0.5514393939393939,0.13094913038541314,0.5755729166666667
CNN,128to512_interp,508,0.5433070866141733,0.5897435897435898,0.6133333333333333,0.6388888888888888,0.41818181818181815,0.5285353535353535,0.0580918897986797,0.5664299242424242
DeepConvNet,128Hz,2540,0.5196850393700787,0.6297169811320755,0.46678321678321677,0.37083333333333335,0.7145454545454546,0.542689393939394,0.08970764752743114,0.5725694444444445
CNN,128Hz,2540,0.5118110236220472,0.5833333333333334,0.5303030303030303,0.4861111111111111,0.5454545454545454,0.5157828282828283,0.031329206370696326,0.5184722222222222
