model,preprocessing,aggregation,n,accuracy,precision,f1,sensitivity,specificity,balanced_accuracy,mcc,auc
CNN,128Hz,majority_vote,121,0.5785123966942148,0.5892857142857143,0.5641025641025641,0.5409836065573771,0.6166666666666667,0.5788251366120218,0.1580827850744294,0.5530054644808743
CNN,128Hz,mean_probability,121,0.5454545454545454,0.5681818181818182,0.47619047619047616,0.4098360655737705,0.6833333333333333,0.5465846994535519,0.09683718036162722,0.5573770491803278
CNN,128to512_interp,majority_vote,121,0.5619834710743802,0.5512820512820513,0.6187050359712231,0.7049180327868853,0.4166666666666667,0.5607923497267759,0.12701000676237661,0.5573770491803279
CNN,128to512_interp,mean_probability,121,0.5867768595041323,0.5733333333333334,0.6323529411764706,0.7049180327868853,0.4666666666666667,0.585792349726776,0.1767297053980904,0.6306010928961748
CNN+GNB,128Hz,majority_vote,121,0.5454545454545454,0.5263157894736842,0.6857142857142857,0.9836065573770492,0.1,0.5418032786885246,0.17905210789061235,0.6581967213114754
CNN+GNB,128Hz,mean_probability,121,0.5454545454545454,0.5267857142857143,0.6820809248554913,0.9672131147540983,0.11666666666666667,0.5419398907103825,0.15983341059687933,0.6729508196721312
CNN+GNB,128to512_interp,majority_vote,121,0.6776859504132231,0.6410256410256411,0.7194244604316546,0.819672131147541,0.5333333333333333,0.6765027322404371,0.36875714322919234,0.6968579234972677
CNN+GNB,128to512_interp,mean_probability,121,0.6859504132231405,0.6493506493506493,0.7246376811594203,0.819672131147541,0.55,0.6848360655737705,0.3842249414348435,0.6982240437158469
CNN+KNN,128Hz,majority_vote,121,0.6033057851239669,0.5670103092783505,0.6962025316455697,0.9016393442622951,0.3,0.6008196721311475,0.25282751212491483,0.7262295081967214
CNN+KNN,128Hz,mean_probability,121,0.6776859504132231,0.625,0.738255033557047,0.9016393442622951,0.45,0.6758196721311476,0.39476596096222155,0.7487704918032787
CNN+KNN,128to512_interp,majority_vote,121,0.6942148760330579,0.6666666666666666,0.7218045112781954,0.7868852459016393,0.6,0.6934426229508197,0.3940564335788412,0.728688524590164
CNN+KNN,128to512_interp,mean_probability,121,0.7024793388429752,0.676056338028169,0.7272727272727273,0.7868852459016393,0.6166666666666667,0.701775956284153,0.4097564288054956,0.7870218579234972
CNN+LR,128Hz,majority_vote,121,0.6942148760330579,0.6578947368421053,0.7299270072992701,0.819672131147541,0.5666666666666667,0.6931693989071038,0.39966472063574104,0.7851092896174864
CNN+LR,128Hz,mean_probability,121,0.743801652892562,0.7142857142857143,0.7633587786259542,0.819672131147541,0.6666666666666666,0.7431693989071038,0.4924309617920604,0.7997267759562842
CNN+LR,128to512_interp,majority_vote,121,0.7520661157024794,0.7313432835820896,0.765625,0.8032786885245902,0.7,0.7516393442622951,0.5061914460571627,0.7871584699453553
CNN+LR,128to512_interp,mean_probability,121,0.768595041322314,0.7538461538461538,0.7777777777777778,0.8032786885245902,0.7333333333333333,0.7683060109289617,0.5380842112412121,0.7920765027322405
CNN+LR_noCORAL,128Hz,majority_vote,121,0.6942148760330579,0.6578947368421053,0.7299270072992701,0.819672131147541,0.5666666666666667,0.6931693989071038,0.39966472063574104,0.7851092896174864
CNN+LR_noCORAL,128Hz,mean_probability,121,0.743801652892562,0.7142857142857143,0.7633587786259542,0.819672131147541,0.6666666666666666,0.7431693989071038,0.4924309617920604,0.7997267759562842
CNN+LR_withCORAL,128Hz,majority_vote,121,0.6859504132231405,0.6533333333333333,0.7205882352941176,0.8032786885245902,0.5666666666666667,0.6849726775956284,0.38103825017358983,0.7674863387978142
CNN+LR_withCORAL,128Hz,mean_probability,121,0.7355371900826446,0.704225352112676,0.7575757575757576,0.819672131147541,0.65,0.7348360655737705,0.47689323027531955,0.7975409836065572
CNN+LinearSVM,128Hz,majority_vote,121,0.5867768595041323,0.5514018691588785,0.7023809523809523,0.9672131147540983,0.2,0.5836065573770491,0.2613695395436772,0.7734972677595627
CNN+LinearSVM,128Hz,mean_probability,121,0.6446280991735537,0.6022727272727273,0.7114093959731543,0.8688524590163934,0.4166666666666667,0.64275956284153,0.32053646402915426,0.8046448087431693
CNN+LinearSVM,128to512_interp,majority_vote,121,0.7107438016528925,0.6756756756756757,0.7407407407407407,0.819672131147541,0.6,0.7098360655737705,0.43051261735085244,0.7692622950819672
CNN+LinearSVM,128to512_interp,mean_probability,121,0.7603305785123967,0.7285714285714285,0.7786259541984732,0.8360655737704918,0.6833333333333333,0.7596994535519126,0.5259052013296106,0.7983606557377049
