model,preprocessing,metric,point_estimate,boot_mean,boot_sd,ci_low,ci_high,n_boot,n_subjects
CNN,128Hz,accuracy,0.5454545454545454,0.5448347107438016,0.04498963976998957,0.45454545454545453,0.628099173553719,2000,121
CNN,128Hz,balanced_accuracy,0.5465846994535519,0.5462321724237843,0.04296602176951282,0.4594590867374834,0.6269313832695461,2000,121
CNN,128Hz,sensitivity,0.4098360655737705,0.40943145591208235,0.06279338793238172,0.288135593220339,0.5294340463458109,2000,121
CNN,128Hz,specificity,0.6833333333333333,0.6830328889354861,0.06014310851619005,0.5625,0.8,2000,121
CNN,128Hz,precision,0.5681818181818182,0.5684572114583202,0.07391262790841474,0.42,0.7105263157894737,2000,121
CNN,128Hz,f1,0.47619047619047616,0.4735316007428796,0.05922377829177191,0.3541666666666667,0.584070796460177,2000,121
CNN,128Hz,mcc,0.09683718036162722,0.0961253097340429,0.08930435017452634,-0.0848927687017636,0.2645769684000397,2000,121
CNN,128Hz,auc,0.5573770491803278,0.5575944495657802,0.052573284064411294,0.45650225307514314,0.660442106594704,2000,121
CNN,128to512_interp,accuracy,0.5867768595041323,0.5873429752066115,0.04637299573332788,0.49586776859504134,0.6776859504132231,2000,121
CNN,128to512_interp,balanced_accuracy,0.585792349726776,0.5862683845305339,0.04539387351056574,0.4952357499603615,0.6763661202185793,2000,121
CNN,128to512_interp,sensitivity,0.7049180327868853,0.7050795853077861,0.06077704150370135,0.578125,0.8153846153846154,2000,121
CNN,128to512_interp,specificity,0.4666666666666667,0.4674571837532816,0.06677790839889723,0.3332089552238806,0.6,2000,121
CNN,128to512_interp,precision,0.5733333333333334,0.574401440512779,0.05790253110680008,0.4594435612082671,0.6875,2000,121
CNN,128to512_interp,f1,0.6323529411764706,0.631270973739855,0.04961627648488999,0.5254237288135594,0.723404255319149,2000,121
CNN,128to512_interp,mcc,0.1767297053980904,0.17765474340713974,0.09319240495643792,-0.009936748877036324,0.36038732093748377,2000,121
CNN,128to512_interp,auc,0.6306010928961748,0.6309155914077343,0.05349943065138784,0.5218397110910479,0.7321059113300491,2000,121
CNN+GNB,128Hz,accuracy,0.5454545454545454,0.5459628099173554,0.044695936924316934,0.45454545454545453,0.6283057851239658,2000,121
CNN+GNB,128Hz,balanced_accuracy,0.5419398907103825,0.541800895013112,0.02370362655186324,0.49628798558897247,0.5882996172772007,2000,121
CNN+GNB,128Hz,sensitivity,0.9672131147540983,0.9676006898611516,0.022718199803626684,0.9180327868852459,1.0,2000,121
CNN+GNB,128Hz,specificity,0.11666666666666667,0.11600110016507255,0.041276171109345484,0.0384433962264151,0.2,2000,121
CNN+GNB,128Hz,precision,0.5267857142857143,0.5273332140169122,0.04691249666783698,0.4335984214302798,0.6194690265486725,2000,121
CNN+GNB,128Hz,f1,0.6820809248554913,0.6813981244131629,0.04059893656257192,0.5962732919254659,0.7567643915101542,2000,121
CNN+GNB,128Hz,mcc,0.15983341059687933,0.15786029241718136,0.08130418947904472,-0.015130471585939817,0.2963799125464099,2000,121
CNN+GNB,128Hz,auc,0.6729508196721312,0.6734353248417695,0.04836718696013013,0.5744064528014833,0.7648035703556837,2000,121
CNN+GNB,128to512_interp,accuracy,0.6859504132231405,0.6869586776859504,0.04195801597024759,0.6033057851239669,0.768595041322314,2000,121
CNN+GNB,128to512_interp,balanced_accuracy,0.6848360655737705,0.6857853693230077,0.04034424593535216,0.6060561497326203,0.7641009852216748,2000,121
