model_a,model_b,n_pairs,mean_diff,sd_diff,effect_size_rank_biserial,diff_ci_low,diff_ci_high,wilcoxon_stat,p_value,n_paired_folds,metric,p_value_holm
CNN|128Hz,CNN|128to512_interp,5,-0.06666666666666665,0.14613064930625153,-0.6666666666666666,-0.1947558283210913,0.06142249498775801,1.0,0.5,5,balanced_accuracy,1.0
CNN|128Hz,CNN+GNB|128Hz,25,-0.03397435897435896,0.08183021434554492,-0.5087719298245614,-0.06605180299781256,-0.001896914950905354,42.0,0.055879724971094204,25,balanced_accuracy,0.558797249710942
CNN|128Hz,CNN+GNB|128to512_interp,5,-0.16666666666666666,0.12147816447594374,-1.0,-0.2731469726183099,-0.060186360715023424,0.0,0.125,5,balanced_accuracy,0.5625
CNN|128Hz,CNN+KNN|128Hz,25,-0.08166666666666667,0.10645143884376965,-0.7233333333333334,-0.12339563069342437,-0.039937702639908965,41.5,0.001894149642006706,25,balanced_accuracy,0.02272979570408047
CNN|128Hz,CNN+KNN|128to512_interp,5,-0.18397435897435896,0.09544611334291321,-1.0,-0.26763656604253716,-0.10031215190618074,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,CNN+LR|128Hz,25,-0.12987179487179487,0.1264134961704084,-0.8666666666666667,-0.17942588537059495,-0.08031770437299478,20.0,0.0002007414229274513,25,balanced_accuracy,0.003285716475997229
CNN|128Hz,CNN+LR|128to512_interp,5,-0.25,0.0510310363079829,-1.0,-0.2947306755295886,-0.2052693244704114,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,CNN+LR_noCORAL|128Hz,25,-0.12987179487179487,0.1264134961704084,-0.8666666666666667,-0.17942588537059495,-0.08031770437299478,20.0,0.0002007414229274513,25,balanced_accuracy,0.003285716475997229
CNN|128Hz,CNN+LR_withCORAL|128Hz,25,-0.13064102564102564,0.1246374591348539,-0.8768115942028986,-0.17949890962188836,-0.08178314166016291,17.0,0.0002299462918899739,25,balanced_accuracy,0.003285716475997229
CNN|128Hz,CNN+LinearSVM|128Hz,25,-0.08320512820512821,0.14082359749891216,-0.673202614379085,-0.13840797842470176,-0.028002277985554644,25.0,0.014411526232839018,25,balanced_accuracy,0.1585267885612292
CNN|128Hz,CNN+LinearSVM|128to512_interp,5,-0.24166666666666664,0.09501461875826155,-1.0,-0.32495065205534884,-0.15838268127798444,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,CNN+NLSVM|128Hz,25,-0.135,0.11067489156954989,-0.9051383399209486,-0.17838455749526355,-0.09161544250473645,12.0,0.0001932774397645429,25,balanced_accuracy,0.003285716475997229
CNN|128Hz,CNN+NLSVM|128to512_interp,5,-0.24166666666666664,0.08014743359029729,-1.0,-0.3119189896808481,-0.17141434365248517,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,CNN+RF|128Hz,25,-0.12166666666666666,0.10695831855836137,-0.9130434782608695,-0.16359432754154432,-0.079739005791789,11.0,0.00017249789449451548,25,balanced_accuracy,0.003104962100901279
CNN|128Hz,CNN+RF|128to512_interp,5,-0.225,0.08122328620674142,-1.0,-0.2961953494111644,-0.15380465058883563,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,DeepConvNet|128Hz,25,-0.005641025641025632,0.08427963691907463,-0.10606060606060606,-0.03867864331330288,0.02739659203125162,29.5,0.754953451378215,25,balanced_accuracy,1.0
CNN|128Hz,EEGNet|128Hz,25,-0.25025641025641027,0.08822800680976248,-1.0,-0.28484178892583717,-0.21567103158698336,0.0,1.2025270456350779e-05,25,balanced_accuracy,0.0002284801386706648
CNN|128Hz,EEGNet|128to512_interp,5,-0.21730769230769229,0.08571545974588096,-1.0,-0.29244060543575146,-0.14217477917963312,0.0,0.0625,5,balanced_accuracy,0.5625
CNN|128Hz,ShallowConvNet|128Hz,25,-0.18358974358974353,0.16521060215305142,-0.9263157894736842,-0.24835229963373967,-0.11882718754574738,7.0,0.0003858391072907545,25,balanced_accuracy,0.005015908394779808
